,"Realistic, ε=0.1, Q₁=0","Optimistic, ε=0, Q₁=5"
701,70.1,84.5
702,69.65,84.6
703,69.75,84.65
704,70.05,84.35000000000001
705,69.75,84.3
706,69.89999999999999,84.45
707,69.75,84.3
708,69.0,84.35000000000001
709,70.35,84.25
710,70.0,84.25
711,70.15,84.15
712,70.0,84.35000000000001
713,69.39999999999999,84.45
714,69.35,84.25
715,69.3,84.2
716,70.3,84.0
717,69.35,84.05
718,69.65,83.95
719,69.85,84.15
720,69.95,84.35000000000001
721,69.89999999999999,84.25
722,70.0,84.05
723,71.25,84.1
724,71.1,84.3
725,70.35,84.1
726,70.7,84.1
727,70.75,84.0
728,70.05,84.0
729,70.65,83.65
730,70.25,83.8
731,71.65,83.65
732,70.45,83.8
733,69.8,83.8
734,71.3,84.05
735,69.75,84.0
736,70.75,84.0
737,70.0,84.0
738,70.45,84.1
739,70.5,84.2
740,71.05,83.8
741,71.05,84.0
742,71.75,83.95
743,71.15,83.8
744,71.25,84.0
745,71.35000000000001,84.25
746,71.25,84.65
747,70.65,84.75
748,71.55,84.75
749,71.55,84.85000000000001
750,70.65,85.0
751,71.45,84.95
752,71.35000000000001,84.75
753,71.1,84.8
754,70.95,84.75
755,72.39999999999999,84.35000000000001
756,71.35000000000001,84.55
757,71.55,84.5
758,71.35000000000001,84.6
759,72.05,84.55
760,71.8,84.65
761,71.55,84.75
762,71.5,84.65
763,72.15,84.6
764,71.5,84.55
765,72.3,84.6
766,70.65,84.39999999999999
767,72.0,84.6
768,71.55,84.75
769,72.2,84.75
770,71.55,84.6
771,72.2,84.65
772,72.6,84.6
773,72.25,84.45
774,72.85000000000001,84.25
775,73.25,84.25
776,72.45,84.2
777,71.85000000000001,84.3
778,72.75,84.25
779,72.95,84.39999999999999
780,72.5,84.3
781,72.8,84.15
782,73.3,84.25
783,72.25,84.35000000000001
784,71.8,84.55
785,72.3,84.5
786,72.95,84.5
787,72.39999999999999,84.35000000000001
788,71.85000000000001,84.25
789,71.45,84.55
790,72.55,84.25
791,72.45,84.05
792,72.55,84.25
793,72.0,84.0
794,72.2,83.89999999999999
795,71.75,83.8
796,72.55,83.85000000000001
797,71.95,83.89999999999999
798,72.45,83.75
799,72.55,83.89999999999999
800,72.15,83.89999999999999
801,72.39999999999999,83.95
802,72.8,83.89999999999999
803,72.0,84.3
804,72.85000000000001,84.1
805,72.65,84.1
806,73.4,84.2
807,73.4,84.1
808,72.65,84.2
809,73.95,84.3
810,72.85000000000001,84.3
811,73.15,84.45
812,72.85000000000001,84.7
813,72.5,84.8
814,71.5,84.65
815,72.05,84.7
816,73.15,84.7
817,72.15,84.65
818,72.3,84.7
819,73.45,84.85000000000001
820,73.25,85.0
